dt,AverageTemperature,AverageTemperatureUncertainty,Country
2012-08-01,15.605,0.269,Åland
2012-08-01,26.549000000000003,0.328,Afghanistan
2012-08-01,24.965999999999998,0.631,Albania
2012-08-01,34.01,0.72,Algeria
2012-08-01,26.922,0.434,American Samoa
2012-08-01,22.514,0.402,Andorra
2012-08-01,21.816999999999997,0.75,Angola
2012-08-01,28.903000000000002,0.481,Antigua And Barbuda
2012-08-01,10.842,0.266,Argentina
2012-08-01,23.686999999999998,0.547,Armenia
2012-08-01,30.232,0.613,Aruba
2012-08-01,20.590999999999998,0.252,Asia
2012-08-01,16.408,0.315,Australia
2012-08-01,25.546999999999997,0.35200000000000004,Azerbaijan
2012-08-01,28.988000000000003,0.246,Bahamas
2012-08-01,36.749,0.613,Bahrain
2012-08-01,26.291,0.4370000000000001,Baker Island
2012-08-01,28.908,0.384,Bangladesh
2012-08-01,28.195,0.738,Barbados
2012-08-01,19.277,0.301,Belgium
2012-08-01,26.893,0.327,Belize
2012-08-01,25.44,0.32299999999999995,Benin
2012-08-01,29.225,0.499,Bonaire Saint Eustatius And Saba
2012-08-01,23.628,0.698,Bosnia And Herzegovina
2012-08-01,25.349,0.276,Brazil
2012-08-01,28.906999999999996,0.311,British Virgin Islands
2012-08-01,23.590999999999998,0.441,Bulgaria
2012-08-01,26.729,0.484,Burkina Faso
2012-08-01,26.233,0.7959999999999999,Burma
2012-08-01,21.355,0.608,Burundi
2012-08-01,25.081999999999997,0.411,Côte D'Ivoire
2012-08-01,27.886999999999997,0.568,Cambodia
2012-08-01,23.805,0.523,Cameroon
2012-08-01,13.045,0.245,Canada
2012-08-01,28.134,0.89,Cape Verde
2012-08-01,29.197000000000006,0.329,Cayman Islands
2012-08-01,24.630000000000006,1.081,Central African Republic
2012-08-01,27.975,1.653,Chad
2012-08-01,6.901,0.32299999999999995,Chile
2012-08-01,19.458,0.281,China
2012-08-01,25.77,0.285,Christmas Island
2012-08-01,25.529,0.376,Colombia
2012-08-01,24.526999999999997,0.35600000000000004,Comoros
2012-08-01,24.261,0.469,Congo (Democratic Republic Of The)
2012-08-01,24.216,0.385,Congo
2012-08-01,26.794,1.146,Costa Rica
2012-08-01,24.412,0.534,Croatia
2012-08-01,28.301,0.252,Cuba
2012-08-01,29.354,0.5770000000000001,Curaçao
2012-08-01,19.156,0.368,Czech Republic
2012-08-01,-1.869,1.422,Denmark
2012-08-01,35.053000000000004,1.661,Djibouti
2012-08-01,28.023000000000003,0.261,Dominican Republic
