dt,AverageTemperature,AverageTemperatureUncertainty,Country
2012-01-01,-0.9429999999999998,0.345,Åland
2012-01-01,-0.231,0.4320000000000001,Afghanistan
2012-01-01,21.151,0.266,Africa
2012-01-01,1.6869999999999998,0.84,Albania
2012-01-01,11.363,0.423,Algeria
2012-01-01,27.145,0.481,American Samoa
2012-01-01,5.145,0.371,Andorra
2012-01-01,22.152,0.7020000000000001,Angola
2012-01-01,25.678,0.405,Anguilla
2012-01-01,25.581999999999997,0.377,Antigua And Barbuda
2012-01-01,23.29,0.333,Argentina
2012-01-01,-2.78,0.5770000000000001,Armenia
2012-01-01,26.879,0.685,Aruba
2012-01-01,-7.1579999999999995,0.204,Asia
2012-01-01,27.904,0.35600000000000004,Australia
2012-01-01,-1.7910000000000004,0.502,Austria
2012-01-01,0.3120000000000001,0.445,Azerbaijan
2012-01-01,22.52,0.424,Bahamas
2012-01-01,16.301000000000002,0.475,Bahrain
2012-01-01,26.0,0.295,Baker Island
2012-01-01,26.06,0.258,Barbados
2012-01-01,-4.867,0.324,Belarus
2012-01-01,4.425,0.303,Belgium
2012-01-01,23.54,0.359,Belize
2012-01-01,26.974,0.706,Benin
2012-01-01,2.955,0.664,Bhutan
2012-01-01,22.889000000000006,0.374,Bolivia
2012-01-01,0.807,0.428,Bosnia And Herzegovina
2012-01-01,26.631,0.5579999999999999,Botswana
2012-01-01,25.399,0.35,Brazil
2012-01-01,25.197,0.362,British Virgin Islands
2012-01-01,-1.052,0.611,Bulgaria
2012-01-01,24.725,0.479,Burkina Faso
2012-01-01,19.607,0.334,Burma
2012-01-01,21.078000000000003,0.792,Burundi
2012-01-01,26.308000000000003,0.476,Côte D'Ivoire
2012-01-01,26.039,0.299,Cambodia
2012-01-01,24.337,0.539,Cameroon
2012-01-01,-20.472,0.212,Canada
2012-01-01,22.693,0.695,Cape Verde
2012-01-01,24.954,0.34700000000000003,Cayman Islands
2012-01-01,24.281,0.63,Central African Republic
2012-01-01,22.525,2.758,Chad
2012-01-01,15.435,0.405,Chile
2012-01-01,-9.344,0.194,China
2012-01-01,26.514,0.62,Christmas Island
2012-01-01,25.143,0.297,Colombia
2012-01-01,27.499000000000002,0.434,Comoros
2012-01-01,24.003,0.597,Congo (Democratic Republic Of The)
2012-01-01,24.785999999999998,0.507,Congo
2012-01-01,25.706,0.565,Costa Rica
2012-01-01,2.477,0.44,Croatia
2012-01-01,23.468000000000004,0.4,Cuba
2012-01-01,26.364,0.654,Curaçao
2012-01-01,11.202,0.28,Cyprus
2012-01-01,0.2810000000000001,0.341,Czech Republic
2012-01-01,2.424,0.327,Denmark (Europe)
2012-01-01,-27.273000000000003,0.7240000000000001,Denmark
2012-01-01,25.526999999999997,0.675,Djibouti
2012-01-01,25.56,0.309,Dominica
2012-01-01,24.326,0.369,Dominican Republic
2012-01-01,12.489,0.433,Egypt
2012-01-01,24.833,0.394,El Salvador
2012-01-01,26.215999999999998,0.421,Equatorial Guinea
2012-01-01,23.988000000000003,0.61,Eritrea
2012-01-01,-4.836,0.387,Estonia
2012-01-01,22.259,1.63,Ethiopia
2012-01-01,-0.3540000000000001,0.327,Europe
2012-01-01,11.601,0.631,Falkland Islands (Islas Malvinas)
2012-01-01,5.001,0.456,Faroe Islands
2012-01-01,-9.494,0.364,Finland
2012-01-01,4.944,0.269,France (Europe)
2012-01-01,8.391,0.32299999999999995,France
2012-01-01,25.472,0.495,French Guiana
2012-01-01,26.962,0.377,French Polynesia
2012-01-01,8.949,1.035,French Southern And Antarctic Lands
2012-01-01,25.136999999999997,0.529,Gabon
2012-01-01,25.095,0.389,Gambia
2012-01-01,10.087,0.32,Gaza Strip
2012-01-01,-1.7539999999999998,0.399,Georgia
2012-01-01,1.753,0.3,Germany
2012-01-01,27.256,0.422,Ghana
2012-01-01,3.9819999999999998,0.5670000000000001,Greece
2012-01-01,-27.88,0.747,Greenland
2012-01-01,26.534000000000002,0.265,Grenada
2012-01-01,25.564,0.359,Guadeloupe
2012-01-01,26.266,0.589,Guam
2012-01-01,21.803,0.42,Guatemala
2012-01-01,8.622,0.313,Guernsey
2012-01-01,25.395,0.441,Guinea Bissau
2012-01-01,24.612,0.405,Guinea
2012-01-01,25.911,0.489,Guyana
2012-01-01,25.326,0.35200000000000004,Haiti
2012-01-01,5.334,1.068,Heard Island And Mcdonald Islands
2012-01-01,23.646,0.295,Honduras
2012-01-01,14.427999999999999,0.251,Hong Kong
2012-01-01,0.5640000000000001,0.57,Hungary
2012-01-01,-1.6929999999999998,0.434,Iceland
2012-01-01,16.778000000000002,0.267,India
2012-01-01,26.145,0.359,Indonesia
2012-01-01,6.127999999999999,0.37,Iran
2012-01-01,9.0,0.412,Iraq
2012-01-01,6.987,0.297,Ireland
2012-01-01,7.229,0.284,Isle Of Man
2012-01-01,10.767000000000001,0.306,Israel
2012-01-01,4.871,0.35,Italy
2012-01-01,25.281,0.509,Jamaica
2012-01-01,0.6279999999999999,0.274,Japan
2012-01-01,8.622,0.313,Jersey
