dt,AverageTemperature,AverageTemperatureUncertainty,Country
2013-01-01,-2.569,0.603,Åland
2013-01-01,2.241,0.516,Afghanistan
2013-01-01,22.138,0.277,Africa
2013-01-01,4.412,0.563,Albania
2013-01-01,12.780999999999999,0.442,Algeria
2013-01-01,27.241,0.728,American Samoa
2013-01-01,4.757,0.6779999999999999,Andorra
2013-01-01,24.33,1.67,Angola
2013-01-01,25.919,0.436,Anguilla
2013-01-01,25.787,0.373,Antigua And Barbuda
2013-01-01,22.476999999999997,0.222,Argentina
2013-01-01,-2.4140000000000006,0.542,Armenia
2013-01-01,27.011999999999997,0.545,Aruba
2013-01-01,-6.65,0.138,Asia
2013-01-01,-2.405,0.246,Austria
2013-01-01,2.5850000000000004,0.494,Azerbaijan
2013-01-01,23.901,0.478,Bahamas
2013-01-01,26.284000000000002,0.287,Baker Island
2013-01-01,16.922,0.585,Bangladesh
2013-01-01,26.088,0.285,Barbados
2013-01-01,-6.989,0.4970000000000001,Belarus
2013-01-01,1.65,0.35600000000000004,Belgium
2013-01-01,23.712,0.262,Belize
2013-01-01,27.093000000000004,0.757,Benin
2013-01-01,3.455,0.358,Bhutan
2013-01-01,23.274,0.263,Bolivia
"2013-01-01,26.493000000000002,0.431,""Bonaire, Saint Eustatius And Saba"""
2013-01-01,2.086,0.36,Bosnia And Herzegovina
2013-01-01,26.239,0.301,Brazil
2013-01-01,25.594,0.354,British Virgin Islands
2013-01-01,1.298,0.593,Bulgaria
2013-01-01,19.27,0.524,Burma
2013-01-01,21.168000000000003,0.35200000000000004,Burundi
2013-01-01,26.775,0.695,Côte D'Ivoire
2013-01-01,25.829,0.28800000000000003,Cambodia
2013-01-01,25.381999999999998,0.87,Cameroon
2013-01-01,-21.633000000000003,0.239,Canada
2013-01-01,22.903000000000002,0.632,Cape Verde
2013-01-01,26.034000000000002,0.419,Cayman Islands
2013-01-01,26.561999999999998,0.778,Central African Republic
2013-01-01,23.392000000000003,1.064,Chad
2013-01-01,15.224,0.46,Chile
2013-01-01,-8.136999999999999,0.369,China
2013-01-01,27.061,0.662,Christmas Island
2013-01-01,25.695,0.574,Colombia
2013-01-01,28.221,0.449,Comoros
2013-01-01,25.476000000000006,0.332,Congo
2013-01-01,25.886999999999997,0.48,Costa Rica
2013-01-01,2.752,0.232,Croatia
2013-01-01,24.584,0.342,Cuba
2013-01-01,26.679,0.413,Curaçao
2013-01-01,-1.594,0.31,Czech Republic
2013-01-01,0.272,0.24,Denmark (Europe)
2013-01-01,-26.331999999999997,0.986,Denmark
2013-01-01,25.857000000000006,0.593,Djibouti
2013-01-01,25.56,0.32299999999999995,Dominica
2013-01-01,24.15,1.571,Dominican Republic
2013-01-01,22.659000000000002,0.349,Ecuador
2013-01-01,14.792,0.528,Egypt
2013-01-01,24.831000000000003,0.54,El Salvador
2013-01-01,24.658,0.471,Eritrea
2013-01-01,23.222,0.8809999999999999,Ethiopia
2013-01-01,10.837,1.795,Falkland Islands (Islas Malvinas)
2013-01-01,5.261,0.546,Faroe Islands
2013-01-01,28.014000000000006,0.28300000000000003,Federated States Of Micronesia
2013-01-01,27.307,0.69,Fiji
2013-01-01,-8.621,0.5589999999999999,Finland
2013-01-01,3.4130000000000003,0.445,France (Europe)
2013-01-01,7.235,0.387,France
2013-01-01,26.369,0.402,French Guiana
2013-01-01,27.281999999999996,0.261,French Polynesia
2013-01-01,8.976,0.997,French Southern And Antarctic Lands
2013-01-01,25.445999999999998,0.491,Gabon
2013-01-01,24.734,0.409,Gambia
2013-01-01,11.839,0.978,Gaza Strip
2013-01-01,-0.7319999999999998,0.848,Georgia
2013-01-01,27.39,0.815,Ghana
2013-01-01,-26.875,1.014,Greenland
2013-01-01,26.579,0.359,Grenada
2013-01-01,26.043000000000003,0.494,Guam
2013-01-01,21.927,0.392,Guatemala
2013-01-01,7.298999999999999,0.7140000000000001,Guernsey
2013-01-01,25.2,0.4370000000000001,Guinea Bissau
2013-01-01,24.741,0.508,Guinea
2013-01-01,26.639,0.875,Guyana
2013-01-01,25.273000000000003,1.3730000000000002,Haiti
2013-01-01,5.523,1.0590000000000002,Heard Island And Mcdonald Islands
2013-01-01,23.735,0.262,Honduras
2013-01-01,-0.3789999999999998,0.493,Hungary
2013-01-01,26.403000000000002,0.209,Indonesia
